tensor(162.0869, grad_fn=<MseLossBackward>)
tensor(324.4007, grad_fn=<MseLossBackward>)
tensor(25.3030, grad_fn=<MseLossBackward>)
tensor(59.4122, grad_fn=<MseLossBackward>)
tensor(75.9708, grad_fn=<MseLossBackward>)
tensor(235.2043, grad_fn=<MseLossBackward>)
tensor(403.6562, grad_fn=<MseLossBackward>)
tensor(683.6404, grad_fn=<MseLossBackward>)
tensor(50.8920, grad_fn=<MseLossBackward>)
tensor(2611.9583, grad_fn=<MseLossBackward>)
tensor(404.2273, grad_fn=<MseLossBackward>)
tensor(36.0896, grad_fn=<MseLossBackward>)
tensor(24.7472, grad_fn=<MseLossBackward>)
tensor(186.6193, grad_fn=<MseLossBackward>)
tensor(26.6240, grad_fn=<MseLossBackward>)
tensor(254.7173, grad_fn=<MseLossBackward>)
tensor(128.4833, grad_fn=<MseLossBackward>)
tensor(89.6026, grad_fn=<MseLossBackward>)
tensor(33.6953, grad_fn=<MseLossBackward>)
tensor(175.0090, grad_fn=<MseLossBackward>)
tensor(50.1121, grad_fn=<MseLossBackward>)
tensor(368.0538, grad_fn=<MseLossBackward>)
tensor(45.1312, grad_fn=<MseLossBackward>)
tensor(141.1272, grad_fn=<MseLossBackward>)
tensor(424.6299, grad_fn=<MseLossBackward>)
tensor(46.9989, grad_fn=<MseLossBackward>)
tensor(128.8951, grad_fn=<MseLossBackward>)
tensor(91.8398, grad_fn=<MseLossBackward>)
tensor(92.2570, grad_fn=<MseLossBackward>)
tensor(136.5013, grad_fn=<MseLossBackward>)
tensor(34.3684, grad_fn=<MseLossBackward>)
tensor(896.8650, grad_fn=<MseLossBackward>)
tensor(97.3816, grad_fn=<MseLossBackward>)
tensor(74.4738, grad_fn=<MseLossBackward>)
tensor(138.2574, grad_fn=<MseLossBackward>)
tensor(393.3298, grad_fn=<MseLossBackward>)
tensor(229.6852, grad_fn=<MseLossBackward>)
tensor(211.8829, grad_fn=<MseLossBackward>)
tensor(54.1938, grad_fn=<MseLossBackward>)
tensor(523.1386, grad_fn=<MseLossBackward>)
tensor(721.0391, grad_fn=<MseLossBackward>)
tensor(45.1788, grad_fn=<MseLossBackward>)
tensor(475.6346, grad_fn=<MseLossBackward>)
tensor(251.6826, grad_fn=<MseLossBackward>)
tensor(61.9007, grad_fn=<MseLossBackward>)
tensor(75.4725, grad_fn=<MseLossBackward>)
tensor(94.9387, grad_fn=<MseLossBackward>)
tensor(129.0428, grad_fn=<MseLossBackward>)
tensor(357.8650, grad_fn=<MseLossBackward>)
tensor(364.3225, grad_fn=<MseLossBackward>)
tensor(199.9324, grad_fn=<MseLossBackward>)
tensor(224.1535, grad_fn=<MseLossBackward>)
tensor(325.3070, grad_fn=<MseLossBackward>)
tensor(737.4047, grad_fn=<MseLossBackward>)
tensor(93.2692, grad_fn=<MseLossBackward>)
tensor(231.9757, grad_fn=<MseLossBackward>)
tensor(101.4910, grad_fn=<MseLossBackward>)
tensor(78.8306, grad_fn=<MseLossBackward>)
tensor(503.0286, grad_fn=<MseLossBackward>)
tensor(77.4164, grad_fn=<MseLossBackward>)
tensor(66.0646, grad_fn=<MseLossBackward>)
tensor(109.5115, grad_fn=<MseLossBackward>)
tensor(129.4931, grad_fn=<MseLossBackward>)
tensor(57.9993, grad_fn=<MseLossBackward>)
tensor(59.2803, grad_fn=<MseLossBackward>)
tensor(1733.5511, grad_fn=<MseLossBackward>)
tensor(360.4636, grad_fn=<MseLossBackward>)
tensor(754.0115, grad_fn=<MseLossBackward>)
tensor(469.3108, grad_fn=<MseLossBackward>)
tensor(145.0511, grad_fn=<MseLossBackward>)
tensor(118.0544, grad_fn=<MseLossBackward>)
tensor(55.6860, grad_fn=<MseLossBackward>)
tensor(56.2047, grad_fn=<MseLossBackward>)
tensor(57.6563, grad_fn=<MseLossBackward>)
tensor(199.3098, grad_fn=<MseLossBackward>)
tensor(62.8905, grad_fn=<MseLossBackward>)
tensor(165.0511, grad_fn=<MseLossBackward>)
tensor(54.1319, grad_fn=<MseLossBackward>)
tensor(1092.8499, grad_fn=<MseLossBackward>)
tensor(295.4814, grad_fn=<MseLossBackward>)
tensor(185.5537, grad_fn=<MseLossBackward>)
tensor(54.1195, grad_fn=<MseLossBackward>)
tensor(156.9525, grad_fn=<MseLossBackward>)
tensor(89.1229, grad_fn=<MseLossBackward>)
tensor(138.1017, grad_fn=<MseLossBackward>)
tensor(115.6591, grad_fn=<MseLossBackward>)
tensor(44.5100, grad_fn=<MseLossBackward>)
tensor(59.2200, grad_fn=<MseLossBackward>)
tensor(51.2878, grad_fn=<MseLossBackward>)
tensor(58.6785, grad_fn=<MseLossBackward>)
tensor(1468.9807, grad_fn=<MseLossBackward>)
tensor(158.3480, grad_fn=<MseLossBackward>)
tensor(59.4762, grad_fn=<MseLossBackward>)
tensor(350.8408, grad_fn=<MseLossBackward>)
tensor(3620.8877, grad_fn=<MseLossBackward>)
tensor(93.1070, grad_fn=<MseLossBackward>)
tensor(203.3873, grad_fn=<MseLossBackward>)
